"AID","x","y","TelemDt"
"W55",695954.1,9705356,"2016-05-27 21:30:00"
"W55",695919.9,9705367,"2016-05-28 01:30:00"
"W55",695670.5,9705337,"2016-05-28 05:30:00"
"W55",695097.7,9705232,"2016-05-28 13:30:00"
"W55",694682.1,9705344,"2016-05-28 21:30:00"
"W55",694672.7,9705298,"2016-05-29 01:30:00"
"W55",694665.4,9705298,"2016-05-29 05:30:00"
"W55",695247.2,9705418,"2016-05-29 13:30:00"
"W55",695177.7,9705417,"2016-05-29 21:30:00"
"W55",695297.6,9705620,"2016-05-30 01:30:00"
"W55",695517.2,9706623,"2016-05-30 05:30:00"
"W55",695686.9,9708060,"2016-05-30 13:30:00"
"W55",695259,9707784,"2016-05-30 21:30:00"
"W55",695252.5,9707782,"2016-05-31 01:30:00"
"W55",695453.9,9708016,"2016-05-31 05:30:00"
"W55",693939.1,9710541,"2016-05-31 13:30:00"
"W55",695381.5,9711046,"2016-05-31 21:30:00"
"W55",695219.5,9711441,"2016-06-01 01:30:00"
"W55",695017.9,9711536,"2016-06-01 05:30:00"
"W55",691688.2,9711321,"2016-06-01 13:30:00"
"W55",691180.9,9710147,"2016-06-01 21:30:00"
"W55",690663.8,9711635,"2016-06-02 01:30:00"
"W55",687916,9715768,"2016-06-02 05:30:00"
"W55",685996.2,9716818,"2016-06-02 13:30:00"
"W55",686007.9,9716848,"2016-06-02 21:30:00"
"W55",685495.1,9716745,"2016-06-03 01:30:00"
"W55",684786.1,9716923,"2016-06-03 05:30:00"
"W55",682755,9717640,"2016-06-03 13:30:00"
"W55",682090.6,9717806,"2016-06-03 21:30:00"
"W55",682069.6,9717818,"2016-06-04 01:30:00"
"W55",681867,9717928,"2016-06-04 05:30:00"
"W55",679425.1,9718553,"2016-06-04 13:30:00"
"W55",678609.4,9719071,"2016-06-04 21:30:00"
"W55",678538.9,9719179,"2016-06-05 01:30:00"
"W55",677103.3,9719235,"2016-06-05 05:30:00"
"W55",672905.1,9720863,"2016-06-05 13:30:00"
"W55",672281.2,9721758,"2016-06-05 21:30:00"
"W55",672168.1,9721774,"2016-06-06 01:30:00"
"W55",670102.6,9723495,"2016-06-06 05:30:00"
"W55",666727.8,9724392,"2016-06-06 13:30:00"
"W55",666967.8,9724478,"2016-06-06 21:30:00"
