"AID","x","y","TelemDt"
"Z16",711620,9711812,"2007-06-14 00:00:00"
"Z16",714072,9716305,"2007-06-14 12:00:00"
"Z16",713557,9707592,"2007-06-15 00:00:00"
"Z16",713755,9707468,"2007-06-15 12:00:00"
"Z16",714894,9708922,"2007-06-16 00:00:00"
"Z16",716202,9709890,"2007-06-16 12:00:00"
"Z16",716163,9709714,"2007-06-17 00:00:00"
"Z16",716627,9712664,"2007-06-17 12:00:00"
"Z16",716775,9713573,"2007-06-18 00:00:00"
"Z16",712577,9717565,"2007-06-18 12:00:00"
"Z16",711906,9715414,"2007-06-19 00:00:00"
"Z16",709410,9715917,"2007-06-19 12:00:00"
"Z16",709959,9715911,"2007-06-20 00:00:00"
"Z16",708926,9723772,"2007-06-20 12:00:00"
"Z16",717911,9717517,"2007-06-21 00:00:00"
"Z16",718167,9718232,"2007-06-21 12:00:00"
"Z16",717749,9719407,"2007-06-22 00:00:00"
"Z16",709471,9726662,"2007-06-22 12:00:00"
"Z16",712905,9721276,"2007-06-23 00:00:00"
"Z16",711931,9719345,"2007-06-23 12:00:00"
"Z16",711453,9720995,"2007-06-24 00:00:00"
"Z16",710989,9721529,"2007-06-24 12:00:00"
"Z16",712376,9721036,"2007-06-25 00:00:00"
"Z16",712631,9721605,"2007-06-25 12:00:00"
"Z16",713687,9722179,"2007-06-26 00:00:00"
"Z16",711743,9729317,"2007-06-26 12:00:00"
"Z16",712967,9727102,"2007-06-27 00:00:00"
"Z16",714378,9732033,"2007-06-27 12:00:00"
"Z16",712350,9733167,"2007-06-28 00:00:00"
"Z16",713395,9735474,"2007-06-28 12:00:00"
"Z16",716549,9736224,"2007-06-29 00:00:00"
"Z16",717755,9735444,"2007-06-29 12:00:00"
"Z16",718412,9731340,"2007-06-30 00:00:00"
"Z16",720170,9728904,"2007-06-30 12:00:00"
"Z16",721652,9728603,"2007-07-01 00:00:00"
"Z16",719540,9727405,"2007-07-01 12:00:00"
"Z16",720271,9724765,"2007-07-02 00:00:00"
"Z16",721003,9727475,"2007-07-02 12:00:00"
"Z16",727426,9725095,"2007-07-05 00:00:00"
"Z16",725541,9725087,"2007-07-05 12:00:00"
"Z16",727931,9724340,"2007-07-06 00:00:00"
"Z16",728882,9725295,"2007-07-07 00:00:00"
"Z16",728275,9726706,"2007-07-08 00:00:00"
"Z16",730523,9744292,"2007-07-09 12:00:00"
"Z16",730368,9750264,"2007-07-10 00:00:00"
"Z16",733533,9759488,"2007-07-10 12:00:00"
"Z16",736032,9764170,"2007-07-11 00:00:00"
"Z16",737821,9765337,"2007-07-11 12:00:00"
"Z16",739790,9765659,"2007-07-12 00:00:00"
"Z16",740442,9768330,"2007-07-12 12:00:00"
"Z16",739088,9768014,"2007-07-13 00:00:00"
"Z16",740350,9771975,"2007-07-14 00:00:00"
"Z16",740709,9772934,"2007-07-14 12:00:00"
"Z16",740565,9772712,"2007-07-15 00:00:00"
"Z16",738182,9772535,"2007-07-15 12:00:00"
"Z16",736643,9771602,"2007-07-16 00:00:00"
"Z16",738655,9773274,"2007-07-17 00:00:00"
"Z16",741754,9788906,"2007-07-18 12:00:00"
"Z16",739674,9790097,"2007-07-19 00:00:00"
"Z16",742314,9796340,"2007-07-19 12:00:00"
"Z16",739757,9797130,"2007-07-20 12:00:00"
"Z16",739938,9797264,"2007-07-21 00:00:00"
"Z16",739996,9797318,"2007-07-21 12:00:00"
"Z16",739749,9797277,"2007-07-22 00:00:00"
"Z16",740018,9797266,"2007-07-22 12:00:00"
"Z16",739903,9797306,"2007-07-23 00:00:00"
"Z16",738006,9802416,"2007-07-23 12:00:00"
"Z16",738141,9804381,"2007-07-24 00:00:00"
"Z16",737236,9805355,"2007-07-24 12:00:00"
"Z16",737490,9805860,"2007-07-25 00:00:00"
"Z16",737868,9804897,"2007-07-25 12:00:00"
"Z16",738472,9804536,"2007-07-26 00:00:00"
"Z16",737399,9805206,"2007-07-26 12:00:00"
"Z16",738215,9803920,"2007-07-27 00:00:00"
"Z16",737847,9804741,"2007-07-27 12:00:00"
"Z16",736835,9803027,"2007-07-28 00:00:00"
"Z16",734952,9800281,"2007-07-29 00:00:00"
"Z16",733273,9801489,"2007-07-30 00:00:00"
"Z16",733022,9802424,"2007-07-30 12:00:00"
"Z16",732771,9802566,"2007-07-31 00:00:00"
"Z16",733352,9802407,"2007-07-31 12:00:00"
"Z16",734075,9802675,"2007-08-01 00:00:00"
"Z16",734959,9803337,"2007-08-01 12:00:00"
"Z16",735289,9802888,"2007-08-02 00:00:00"
"Z16",737605,9806329,"2007-08-02 12:00:00"
"Z16",739695,9812548,"2007-08-03 00:00:00"
"Z16",739689,9812422,"2007-08-03 12:00:00"
"Z16",739994,9813540,"2007-08-04 00:00:00"
"Z16",736686,9807340,"2007-08-04 12:00:00"
"Z16",736302,9807018,"2007-08-05 00:00:00"
"Z16",736529,9806897,"2007-08-05 12:00:00"
"Z16",736186,9807044,"2007-08-06 00:00:00"
"Z16",736348,9806672,"2007-08-06 12:00:00"
"Z16",736535,9806840,"2007-08-07 00:00:00"
"Z16",736471,9807341,"2007-08-07 12:00:00"
"Z16",736242,9806617,"2007-08-08 00:00:00"
"Z16",736605,9805548,"2007-08-12 00:00:00"
"Z16",736559,9805802,"2007-08-13 00:00:00"
"Z16",737085,9805323,"2007-08-13 12:00:00"
"Z16",736934,9805451,"2007-08-14 00:00:00"
"Z16",737491,9807465,"2007-08-14 12:00:00"
"Z16",736470,9806874,"2007-08-15 00:00:00"
"Z16",735730,9807566,"2007-08-15 12:00:00"
"Z16",737652,9805108,"2007-08-16 00:00:00"
"Z16",736413,9803426,"2007-08-16 12:00:00"
"Z16",737770,9802228,"2007-08-17 00:00:00"
"Z16",737495,9801842,"2007-08-17 12:00:00"
"Z16",737998,9801877,"2007-08-18 00:00:00"
"Z16",732455,9795880,"2007-08-18 12:00:00"
"Z16",731904,9795197,"2007-08-19 12:00:00"
"Z16",731393,9794869,"2007-08-20 00:00:00"
"Z16",728543,9791807,"2007-08-21 00:00:00"
"Z16",728893,9789559,"2007-08-21 12:00:00"
"Z16",727498,9787903,"2007-08-22 00:00:00"
"Z16",729800,9786087,"2007-08-22 12:00:00"
"Z16",729719,9785722,"2007-08-23 00:00:00"
"Z16",730413,9784382,"2007-08-23 12:00:00"
"Z16",729711,9784343,"2007-08-24 00:00:00"
"Z16",729323,9783914,"2007-08-24 12:00:00"
"Z16",729311,9783920,"2007-08-25 00:00:00"
"Z16",729808,9784469,"2007-08-25 12:00:00"
"Z16",729057,9783901,"2007-08-26 00:00:00"
"Z16",728759,9783804,"2007-08-26 12:00:00"
"Z16",728504,9784335,"2007-08-27 00:00:00"
"Z16",728803,9785066,"2007-08-27 12:00:00"
"Z16",728361,9784693,"2007-08-28 00:00:00"
"Z16",728681,9785416,"2007-08-28 12:00:00"
"Z16",728339,9784146,"2007-08-29 00:00:00"
"Z16",726284,9782987,"2007-08-30 00:00:00"
"Z16",728974,9783804,"2007-08-31 00:00:00"
"Z16",730360,9781868,"2007-08-31 12:00:00"
"Z16",730266,9783984,"2007-09-01 00:00:00"
"Z16",729761,9782796,"2007-09-01 12:00:00"
"Z16",727747,9782503,"2007-09-02 00:00:00"
"Z16",725127,9781115,"2007-09-03 00:00:00"
"Z16",726167,9780132,"2007-09-04 00:00:00"
"Z16",725116,9779747,"2007-09-04 12:00:00"
"Z16",725307,9781152,"2007-09-05 00:00:00"
"Z16",726181,9781112,"2007-09-06 12:00:00"
"Z16",728571,9785032,"2007-09-07 00:00:00"
"Z16",724887,9779694,"2007-09-07 12:00:00"
"Z16",725808,9780105,"2007-09-08 00:00:00"
"Z16",728714,9783434,"2007-09-08 12:00:00"
"Z16",729353,9782215,"2007-09-09 00:00:00"
"Z16",727588,9780350,"2007-09-09 12:00:00"
"Z16",727295,9779737,"2007-09-10 00:00:00"
"Z16",727177,9778657,"2007-09-10 12:00:00"
"Z16",726104,9778145,"2007-09-11 00:00:00"
"Z16",730572,9783240,"2007-09-11 12:00:00"
"Z16",730674,9783551,"2007-09-12 00:00:00"
"Z16",727754,9777967,"2007-09-12 12:00:00"
"Z16",728235,9776034,"2007-09-13 00:00:00"
"Z16",726075,9768003,"2007-09-13 12:00:00"
"Z16",729763,9765986,"2007-09-14 00:00:00"
"Z16",729623,9760789,"2007-09-14 12:00:00"
"Z16",730955,9758977,"2007-09-15 00:00:00"
"Z16",735787,9755858,"2007-09-15 12:00:00"
"Z16",738695,9758881,"2007-09-16 00:00:00"
"Z16",740825,9757127,"2007-09-16 12:00:00"
"Z16",744679,9759224,"2007-09-17 00:00:00"
"Z16",740699,9757681,"2007-09-17 12:00:00"
"Z16",741649,9757918,"2007-09-18 00:00:00"
"Z16",740765,9758343,"2007-09-18 12:00:00"
"Z16",741797,9757933,"2007-09-19 00:00:00"
"Z16",739821,9758640,"2007-09-19 12:00:00"
