"AID","x","y","OWNER","timestamp"
"W68",734094.026705963,9861514.68909163,"HOPCRAFT","2018-01-01 03:30:00"
"W68",735752.078653799,9861362.70693096,"HOPCRAFT","2018-01-01 07:31:00"
"W68",735814.237655618,9859771.36120425,"HOPCRAFT","2018-01-01 15:31:00"
"W68",735398.139377441,9858859.20042087,"HOPCRAFT","2018-01-01 23:30:00"
"W68",735884.300959509,9859142.72687757,"HOPCRAFT","2018-01-02 03:30:00"
"W68",738181.576416207,9860597.75577999,"HOPCRAFT","2018-01-02 07:30:00"
"W68",738089.478727789,9858543.95222181,"HOPCRAFT","2018-01-02 15:30:00"
"W68",739284.672369777,9858016.4549308,"HOPCRAFT","2018-01-02 23:30:00"
"W68",738729.829773435,9857888.83680283,"HOPCRAFT","2018-01-03 03:30:00"
"W68",739011.802764807,9858800.89925615,"HOPCRAFT","2018-01-03 07:30:00"
"W68",739316.13254359,9858758.50274254,"HOPCRAFT","2018-01-03 15:31:00"
"W68",738401.265902003,9857308.08792823,"HOPCRAFT","2018-01-03 23:31:00"
"W68",739104.437094333,9857094.01983313,"HOPCRAFT","2018-01-04 03:31:00"
"W68",739334.198876758,9857604.28487704,"HOPCRAFT","2018-01-04 07:30:00"
"W68",741490.756437949,9857276.81965169,"HOPCRAFT","2018-01-04 15:30:00"
"W68",745365.635725223,9859853.74960322,"HOPCRAFT","2018-01-04 23:30:00"
"W68",745364.151020068,9859809.8375936,"HOPCRAFT","2018-01-05 03:30:00"
"W68",745911.684721068,9858264.65782226,"HOPCRAFT","2018-01-05 07:30:00"
"W68",748844.545992134,9855556.46373865,"HOPCRAFT","2018-01-05 15:30:00"
"W68",753952.018815701,9852601.55816211,"HOPCRAFT","2018-01-05 23:30:00"
"W68",754797.759044203,9852174.99897233,"HOPCRAFT","2018-01-06 03:30:00"
"W68",756411.658135879,9848999.67677803,"HOPCRAFT","2018-01-06 07:30:00"
"W68",756981.90052807,9848179.98164324,"HOPCRAFT","2018-01-06 15:30:00"
"W68",758864.464203115,9848875.18634469,"HOPCRAFT","2018-01-06 23:30:00"
